cohort,scope,adjustment,outcome_id,exposure_model,n,people,parameters,matrix_rank,events,outcome_coding_status,scenario,model_status,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,standardized_risk,standard_error,ci_low,ci_high,observed_n,observed_events,observed_risk,warnings,risk_difference_vs_0,risk_difference_standard_error,risk_difference_ci_low,risk_difference_ci_high
elsa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,27484,8313,19,19,3652.0,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,5346.0,750.0,4596.0,389.0,65.0,324.0,0.128860762269909,0.0022561690671598,0.1244387521552425,0.1332827723845756,21749.0,2837.0,0.1304427789783438,,,,,
elsa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,27484,8313,19,19,3652.0,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,5346.0,750.0,4596.0,389.0,65.0,324.0,0.1463776921779948,0.0050261189604643,0.1365266800334708,0.1562287043225187,5346.0,750.0,0.1402918069584736,,0.0175169299080857,0.0056183725951007,0.0065051219699614,0.0285287378462099
elsa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,27484,8313,19,19,3652.0,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,5346.0,750.0,4596.0,389.0,65.0,324.0,0.1850775560863445,0.0207244933026244,0.144458295615359,0.22569681655733,389.0,65.0,0.1670951156812339,,0.0562167938164354,0.0208769639162132,0.0152986964341152,0.0971348911987556
hrs,comparable_22_30_months,full,mortality,score_categorical,72785,21202,19,19,4554.0,PASS_SOURCE_STATUS,withdrawal_0,PASS,19936.0,1895.0,18041.0,2246.0,288.0,1958.0,0.0491461810676717,0.0009424027456184,0.047299105627328,0.0509932565080155,50603.0,2371.0,0.0468549295496314,,,,,
hrs,comparable_22_30_months,full,mortality,score_categorical,72785,21202,19,19,4554.0,PASS_SOURCE_STATUS,withdrawal_1,PASS,19936.0,1895.0,18041.0,2246.0,288.0,1958.0,0.0844101705148583,0.0018063307716892,0.0808698272581809,0.0879505137715356,19936.0,1895.0,0.0950541733547351,,0.0352639894471865,0.0020592824758284,0.0312278699605682,0.0393001089338047
hrs,comparable_22_30_months,full,mortality,score_categorical,72785,21202,19,19,4554.0,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,19936.0,1895.0,18041.0,2246.0,288.0,1958.0,0.1545884722922769,0.008089303225235,0.1387337293107925,0.1704432152737612,2246.0,288.0,0.1282279608192341,,0.1054422912246051,0.0081852109988598,0.0893995724609786,0.1214850099882316
hrs,comparable_22_30_months,full,incident_any_adl,score_categorical,54427,17198,19,19,5028.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,13419.0,1663.0,11756.0,1396.0,195.0,1201.0,0.0810810999660087,0.0014650653255648,0.078209624692903,0.0839525752391143,39612.0,3170.0,0.0800262546703019,,,,,
hrs,comparable_22_30_months,full,incident_any_adl,score_categorical,54427,17198,19,19,5028.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,13419.0,1663.0,11756.0,1396.0,195.0,1201.0,0.1179942049099692,0.0027363692336875,0.1126310197635382,0.1233573900564003,13419.0,1663.0,0.1239287577315746,,0.0369131049439605,0.0030376140326312,0.0309594908410698,0.0428667190468513
hrs,comparable_22_30_months,full,incident_any_adl,score_categorical,54427,17198,19,19,5028.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,13419.0,1663.0,11756.0,1396.0,195.0,1201.0,0.1600499304414367,0.0104011882230147,0.1396639761279056,0.1804358847549678,1396.0,195.0,0.1396848137535816,,0.078968830475428,0.0105235406625094,0.0583430697870666,0.0995945911637893
hrs,comparable_22_30_months,full,incident_any_iadl,score_categorical,51059,16396,19,19,3600.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,12600.0,1194.0,11406.0,1268.0,124.0,1144.0,0.0620576938700485,0.0013221599696436,0.0594663079477463,0.0646490797923507,37191.0,2282.0,0.0613589309241483,,,,,
hrs,comparable_22_30_months,full,incident_any_iadl,score_categorical,51059,16396,19,19,3600.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,12600.0,1194.0,11406.0,1268.0,124.0,1144.0,0.0901930620363494,0.0025310469933756,0.0852323010861546,0.0951538229865441,12600.0,1194.0,0.0947619047619047,,0.0281353681663008,0.0028212001822251,0.0226059174159617,0.0336648189166399
hrs,comparable_22_30_months,full,incident_any_iadl,score_categorical,51059,16396,19,19,3600.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,12600.0,1194.0,11406.0,1268.0,124.0,1144.0,0.1206633729176608,0.0098937691947977,0.1012719416245055,0.1400548042108162,1268.0,124.0,0.0977917981072555,,0.0586056790476123,0.0099934129928212,0.039018949499048,0.0781924085961766
hrs,comparable_22_30_months,full,multimorbidity_progression,score_categorical,63016,18958,19,19,9949.0,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,16583.0,2739.0,13844.0,1790.0,323.0,1467.0,0.1516160272746773,0.001683602215118,0.1483162275687541,0.1549158269806005,44643.0,6887.0,0.1542683063414197,,,,,
hrs,comparable_22_30_months,full,multimorbidity_progression,score_categorical,63016,18958,19,19,9949.0,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,16583.0,2739.0,13844.0,1790.0,323.0,1467.0,0.1713587061853968,0.0029753716008993,0.1655270850070108,0.1771903273637829,16583.0,2739.0,0.1651691491286257,,0.0197426789107195,0.0034559849949871,0.0129690727894338,0.0265162850320051
hrs,comparable_22_30_months,full,multimorbidity_progression,score_categorical,63016,18958,19,19,9949.0,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,16583.0,2739.0,13844.0,1790.0,323.0,1467.0,0.1983117738393658,0.0099037408326097,0.178900798495232,0.2177227491834996,1790.0,323.0,0.1804469273743016,,0.0466957465646885,0.0100996509947547,0.026900794358545,0.0664906987708319
klosa,comparable_22_30_months,full,mortality,score_categorical,17193,5827,17,17,611.0,PASS_SOURCE_STATUS,withdrawal_0,PASS,5018.0,277.0,4741.0,400.0,32.0,368.0,0.0269803858489389,0.0015115237813896,0.0240178536756393,0.0299429180222384,11775.0,302.0,0.0256475583864118,,,,,
klosa,comparable_22_30_months,full,mortality,score_categorical,17193,5827,17,17,611.0,PASS_SOURCE_STATUS,withdrawal_1,PASS,5018.0,277.0,4741.0,400.0,32.0,368.0,0.0494047679921951,0.0029021446817689,0.0437166689380035,0.0550928670463867,5018.0,277.0,0.0552012754085292,,0.0224243821432562,0.0033094818687204,0.0159379168730758,0.0289108474134365
klosa,comparable_22_30_months,full,mortality,score_categorical,17193,5827,17,17,611.0,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,5018.0,277.0,4741.0,400.0,32.0,368.0,0.0933575047314902,0.0160186985501259,0.0619614324940392,0.1247535769689411,400.0,32.0,0.08,,0.0663771188825513,0.0161676458736613,0.0346891152553774,0.0980651225097251
klosa,comparable_22_30_months,full,incident_any_adl,score_categorical,16129,5498,17,17,348.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,4517.0,138.0,4379.0,334.0,13.0,321.0,,,,,,,,,,,,
klosa,comparable_22_30_months,full,incident_any_iadl,score_categorical,15177,5334,17,17,857.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,4194.0,297.0,3897.0,301.0,18.0,283.0,,,,,,,,,,,,
klosa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,16408,5574,17,17,1629.0,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,4678.0,448.0,4230.0,362.0,33.0,329.0,0.099440960482334,0.0028175635998709,0.0939186373024359,0.1049632836622321,11368.0,1148.0,0.1009852216748768,,,,,
klosa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,16408,5574,17,17,1629.0,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,4678.0,448.0,4230.0,362.0,33.0,329.0,0.099186068232293,0.0044881719138525,0.0903894129247177,0.1079827235398682,4678.0,448.0,0.095767421975203,,-0.000254892250041,0.005362418243059,-0.0107650388764773,0.0102552543763952
klosa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,16408,5574,17,17,1629.0,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,4678.0,448.0,4230.0,362.0,33.0,329.0,0.0952150414499379,0.0161879968503669,0.0634871506413708,0.1269429322585051,362.0,33.0,0.0911602209944751,,-0.004225919032396,0.0164821381337368,-0.0365303161627344,0.0280784780979422
mhas,comparable_22_30_months,full,mortality,score_categorical,0,0,13,0,,PASS_SOURCE_STATUS,__model__,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,
mhas,comparable_22_30_months,full,incident_any_adl,score_categorical,0,0,13,0,,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,
mhas,comparable_22_30_months,full,incident_any_iadl,score_categorical,0,0,13,0,,PASS_STRICT_COMPLETE_ITEM_COUNTS,__model__,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,
mhas,comparable_22_30_months,full,multimorbidity_progression,score_categorical,0,0,14,0,,PASS_STRICT_COMMON_SIX,__model__,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,,,,,,,
share,comparable_22_30_months,full,mortality,score_categorical,43677,30506,16,16,1917.0,PASS_SOURCE_STATUS,withdrawal_0,PASS,11085.0,794.0,10291.0,1276.0,140.0,1136.0,0.0331993219057259,0.0010216924209138,0.0311968415574571,0.0352018022539947,31316.0,983.0,0.03138970494316,,,,,
share,comparable_22_30_months,full,mortality,score_categorical,43677,30506,16,16,1917.0,PASS_SOURCE_STATUS,withdrawal_1,PASS,11085.0,794.0,10291.0,1276.0,140.0,1136.0,0.0631858102251304,0.0021787876908057,0.058915464821192,0.0674561556290688,11085.0,794.0,0.0716283265674334,,0.0299864883194044,0.0024457259785126,0.0251929534854657,0.0347800231533432
share,comparable_22_30_months,full,mortality,score_categorical,43677,30506,16,16,1917.0,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,11085.0,794.0,10291.0,1276.0,140.0,1136.0,0.1138242236405988,0.0093771057249599,0.095445434140453,0.1322030131407446,1276.0,140.0,0.109717868338558,,0.0806249017348729,0.0094917709577405,0.0620213725081981,0.0992284309615477
share,comparable_22_30_months,full,incident_any_adl,score_categorical,31923,22735,16,16,2368.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,7431.0,738.0,6693.0,773.0,77.0,696.0,0.0651361938677388,0.0015922402396594,0.0620154603432709,0.0682569273922068,23719.0,1553.0,0.0654749357055525,,,,,
share,comparable_22_30_months,full,incident_any_adl,score_categorical,31923,22735,16,16,2368.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,7431.0,738.0,6693.0,773.0,77.0,696.0,0.0997976393177849,0.0035518839936915,0.0928360746128852,0.1067592040226846,7431.0,738.0,0.0993136859103754,,0.034661445450046,0.0039482536634982,0.0269230104677611,0.0423998804323309
share,comparable_22_30_months,full,incident_any_adl,score_categorical,31923,22735,16,16,2368.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,7431.0,738.0,6693.0,773.0,77.0,696.0,0.1168124170545534,0.0124777169161066,0.0923565412896981,0.1412682928194086,773.0,77.0,0.0996119016817593,,0.0516762231868145,0.0126459923674309,0.0268905335978815,0.0764619127757475
share,comparable_22_30_months,full,incident_any_iadl,score_categorical,33008,23329,16,16,1955.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,7657.0,569.0,7088.0,831.0,94.0,737.0,0.0521908373027796,0.0013814875268594,0.0494831715050437,0.0548985031005154,24520.0,1292.0,0.0526916802610114,,,,,
share,comparable_22_30_months,full,incident_any_iadl,score_categorical,33008,23329,16,16,1955.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,7657.0,569.0,7088.0,831.0,94.0,737.0,0.0752885162268611,0.0030115195137276,0.0693860464412153,0.0811909860125068,7657.0,569.0,0.0743110878934308,,0.0230976789240814,0.0033551468032538,0.0165217120268591,0.0296736458213038
share,comparable_22_30_months,full,incident_any_iadl,score_categorical,33008,23329,16,16,1955.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,7657.0,569.0,7088.0,831.0,94.0,737.0,0.1397394706006418,0.0130798825270298,0.1141033719256485,0.1653755692756351,831.0,94.0,0.1131167268351383,,0.0875486332978622,0.0132138986703251,0.0616498678086632,0.1134473987870611
share,comparable_22_30_months,full,multimorbidity_progression,score_categorical,35275,24773,16,16,7422.0,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,8718.0,1909.0,6809.0,964.0,227.0,737.0,0.2034614792404684,0.0024986820205018,0.198564152471467,0.2083588060094699,25593.0,5286.0,0.2065408510139491,,,,,
share,comparable_22_30_months,full,multimorbidity_progression,score_categorical,35275,24773,16,16,7422.0,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,8718.0,1909.0,6809.0,964.0,227.0,737.0,0.226493575373018,0.0046152561304253,0.2174478395779567,0.2355393111680793,8718.0,1909.0,0.2189722413397568,,0.0230320961325495,0.0053160339204638,0.012612861107847,0.033451331157252
share,comparable_22_30_months,full,multimorbidity_progression,score_categorical,35275,24773,16,16,7422.0,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,8718.0,1909.0,6809.0,964.0,227.0,737.0,0.2579527565759154,0.0145875020580783,0.2293617779176779,0.2865437352341528,964.0,227.0,0.2354771784232365,,0.0544912773354469,0.0148715903586674,0.0253434958396256,0.0836390588312682
