cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
share,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,20,20,PASS,,prefrail,,,,,,,risk_ratio,1.1019834297070947,0.08197651613976624,0.9384184270585392,1.2940575806417518,0.23616457242371347,11912.0,366.0,11546.0,2033.0,129.0,1904.0,7312.0,260.0,7052.0,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,20,20,PASS,,frail,,,,,,,risk_ratio,1.6560070908588664,0.14400825349331736,1.2487691017372125,2.196050079362022,0.00046066839267801783,11912.0,366.0,11546.0,2033.0,129.0,1904.0,7312.0,260.0,7052.0,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,20,20,PASS,,any_withdrawal,,,,,,,risk_ratio,1.005434098042399,0.12989220655165715,0.7794516182279035,1.2969345394453415,0.9667201687064929,11912.0,366.0,11546.0,2033.0,129.0,1904.0,7312.0,260.0,7052.0,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,28202,19991,827,27375,20,20,PASS,,fried4,6603.0,228.0,6375.0,710.0,32.0,678.0,risk_ratio,1.1626170103194138,0.04271974381888432,1.0692359715466007,1.2641534223066881,0.0004202606838001909,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,28202,19991,827,27375,20,20,PASS,,loss_1,6603.0,228.0,6375.0,710.0,32.0,678.0,risk_ratio,1.0273191289771357,0.13376009056447152,0.7904029989207003,1.3352487202142127,0.840307843061546,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,28202,19991,827,27375,20,20,PASS,,loss_2plus,6603.0,228.0,6375.0,710.0,32.0,678.0,risk_ratio,1.1796884041966205,0.28182785966116863,0.6790081725025947,2.0495552002956945,0.5576389691352939,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,29316,20629,891,28425,20,20,PASS,,fi_per_0_1,6966.0,248.0,6718.0,757.0,36.0,721.0,risk_ratio,1.170245750348585,0.03593107775241551,1.0906677806674725,1.2556299365245982,1.2119558434127974e-05,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,29316,20629,891,28425,20,20,PASS,,loss_1,6966.0,248.0,6718.0,757.0,36.0,721.0,risk_ratio,0.9884329298697283,0.12939575676571816,0.7670176147548573,1.2737643022228495,0.9283555619077152,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,29316,20629,891,28425,20,20,PASS,,loss_2plus,6966.0,248.0,6718.0,757.0,36.0,721.0,risk_ratio,1.1629440695168998,0.26897592178596524,0.6864455731330098,1.9702055949634205,0.5746472814945612,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,26166,18640,698,25468,19,19,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,5483.0,151.0,5332.0,498.0,17.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,26166,18640,698,25468,18,18,PASS,,any_withdrawal,,,,,,,risk_ratio,0.9739977511836607,0.14217644244335906,0.7371182213071895,1.2870006355676225,0.8529882800769573,,,,,,,5981.0,168.0,5813.0,,,,,,,,,
share,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,20,20,PASS,,withdrawal_only,,,,,,,risk_ratio,0.9999159277117468,0.1329534489209929,0.7705366588688073,1.297578578492884,0.9994954414736595,,,,,,,,,,5981.0,168.0,5813.0,702.0,37.0,665.0,1331.0,92.0,1239.0
share,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,20,20,PASS,,frailty_only,,,,,,,risk_ratio,1.4866495815360825,0.17491089326457165,1.0551742653937348,2.094561107834361,0.02338953070328849,,,,,,,,,,5981.0,168.0,5813.0,702.0,37.0,665.0,1331.0,92.0,1239.0
share,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,28199,19990,827,27372,20,20,PASS,,both,,,,,,,risk_ratio,1.5466404458604333,0.19391319328422232,1.0576212148643185,2.2617706936582582,0.024520912140124532,,,,,,,,,,5981.0,168.0,5813.0,702.0,37.0,665.0,1331.0,92.0,1239.0
share,incident_stroke,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,17,17,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,19,19,PASS,,loss_1,7426.0,190.0,7236.0,792.0,25.0,767.0,risk_ratio,1.0964468166743302,0.15234483713454217,0.8134135646880868,1.4779635771826212,0.5455883583676774,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,19,19,PASS,,loss_2plus,7426.0,190.0,7236.0,792.0,25.0,767.0,risk_ratio,1.216955970796866,0.31771624913256374,0.6528814122429101,2.2683780041621566,0.5365670543312104,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,19,19,PASS,,prefrail,,,,,,,risk_ratio,1.4157654934750057,0.09056573155430285,1.185500202720986,1.690756296720998,0.0001236001822768124,13420.0,333.0,13087.0,2354.0,109.0,2245.0,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,19,19,PASS,,frail,,,,,,,risk_ratio,2.087484125041347,0.15059214971683904,1.5539566924858133,2.804190099615289,1.0232978400732817e-06,13420.0,333.0,13087.0,2354.0,109.0,2245.0,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,21,21,PASS,,prefrail,7426.0,190.0,7236.0,792.0,25.0,767.0,risk_ratio,1.4153571024523253,0.09051083059093773,1.1852857684340996,1.6900867122607481,0.0001240332251265015,13420.0,333.0,13087.0,2354.0,109.0,2245.0,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,21,21,PASS,,frail,7426.0,190.0,7236.0,792.0,25.0,767.0,risk_ratio,2.0880101557827073,0.15046283327069745,1.5547422863833682,2.8041859083883507,9.932083872025092e-07,13420.0,333.0,13087.0,2354.0,109.0,2245.0,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,21,21,PASS,,loss_1,7426.0,190.0,7236.0,792.0,25.0,767.0,risk_ratio,1.0990316277095566,0.15160223598575942,0.8165186961834816,1.4792931556272586,0.5333657535123772,13420.0,333.0,13087.0,2354.0,109.0,2245.0,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,21,21,PASS,,loss_2plus,7426.0,190.0,7236.0,792.0,25.0,767.0,risk_ratio,1.217337808091053,0.31685817021492385,0.654185550174336,2.2652767836480194,0.5348126401785734,13420.0,333.0,13087.0,2354.0,109.0,2245.0,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,18,18,PASS,,any_withdrawal,,,,,,,risk_ratio,1.0755557783471155,0.14779611730213962,0.8050607521725165,1.436935323469817,0.6221366768434335,,,,,,,8218.0,215.0,8003.0,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,20,20,PASS,,prefrail,,,,,,,risk_ratio,1.416175016707787,0.09054199085639698,1.1858982992403104,1.691166670221268,0.00012150272559341149,13420.0,333.0,13087.0,2354.0,109.0,2245.0,8218.0,215.0,8003.0,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,20,20,PASS,,frail,,,,,,,risk_ratio,2.087542189930286,0.15053812181307583,1.5541644829520256,2.8039711642757017,1.013272342172373e-06,13420.0,333.0,13087.0,2354.0,109.0,2245.0,8218.0,215.0,8003.0,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,20,20,PASS,,any_withdrawal,,,,,,,risk_ratio,1.0785665451724407,0.14703273684748272,0.8085231377708185,1.438803341574823,0.6069759404788679,13420.0,333.0,13087.0,2354.0,109.0,2245.0,8218.0,215.0,8003.0,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,31293,22245,668,30625,20,20,PASS,,fried4,7427.0,190.0,7237.0,792.0,25.0,767.0,risk_ratio,1.3124479966566218,0.045150865426734535,1.2012948575476223,1.4338858883025685,1.7237911345227276e-09,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,31293,22245,668,30625,20,20,PASS,,loss_1,7427.0,190.0,7237.0,792.0,25.0,767.0,risk_ratio,1.0970014483516883,0.15128319857122213,0.8155201739513629,1.4756375331034703,0.5405588197903868,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,31293,22245,668,30625,20,20,PASS,,loss_2plus,7427.0,190.0,7237.0,792.0,25.0,767.0,risk_ratio,1.2254222977156508,0.3161017370665221,0.6595071253707465,2.2769425074741036,0.5201582080961558,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,32541,22964,712,31829,20,20,PASS,,fi_per_0_1,7853.0,208.0,7645.0,842.0,26.0,816.0,risk_ratio,1.3459631054819525,0.03621448262648062,1.2537395668340365,1.4449704940662802,2.3218677706436717e-16,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,32541,22964,712,31829,20,20,PASS,,loss_1,7853.0,208.0,7645.0,842.0,26.0,816.0,risk_ratio,1.0582874003438723,0.14680841459085622,0.793670204382352,1.4111304866209176,0.6995779231679307,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,32541,22964,712,31829,20,20,PASS,,loss_2plus,7853.0,208.0,7645.0,842.0,26.0,816.0,risk_ratio,1.1263297028288661,0.3066794721838083,0.6174751683332713,2.0545256951771824,0.6980820060084161,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,28937,20665,558,28379,19,19,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,6110.0,127.0,5983.0,564.0,12.0,552.0,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_stroke,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,28937,20665,558,28379,18,18,PASS,,any_withdrawal,,,,,,,risk_ratio,1.1090666121221777,0.16176398550367577,0.8077256550182145,1.5228298649204441,0.5222135098003633,,,,,,,6674.0,139.0,6535.0,,,,,,,,,
share,incident_stroke,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,20,20,PASS,,withdrawal_only,,,,,,,risk_ratio,1.0589921346348874,0.15200872342455443,0.7861450325280072,1.4265361921988644,0.7061230023290879,,,,,,,,,,6674.0,139.0,6535.0,810.0,33.0,777.0,1544.0,76.0,1468.0
share,incident_stroke,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,20,20,PASS,,frailty_only,,,,,,,risk_ratio,1.4571861931865002,0.18301332360483497,1.0179672923177905,2.0859133860564953,0.03966052881650198,,,,,,,,,,6674.0,139.0,6535.0,810.0,33.0,777.0,1544.0,76.0,1468.0
share,incident_stroke,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,31291,22245,667,30624,20,20,PASS,,both,,,,,,,risk_ratio,1.72680617370726,0.21049279551106087,1.1430672982816583,2.6086474226286196,0.009453241908920641,,,,,,,,,,6674.0,139.0,6535.0,810.0,33.0,777.0,1544.0,76.0,1468.0
share,incident_heart_disease,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,17,17,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,19,19,PASS,,loss_1,6223.0,348.0,5875.0,651.0,39.0,612.0,risk_ratio,0.9566953398298438,0.10822771840295309,0.7738380093076392,1.1827617178833565,0.6825047368143459,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,19,19,PASS,,loss_2plus,6223.0,348.0,5875.0,651.0,39.0,612.0,risk_ratio,0.911313091756686,0.2318851216307656,0.5784777188311646,1.4356500244904304,0.6887921884666282,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,19,19,PASS,,prefrail,,,,,,,risk_ratio,1.365091323564885,0.061348600375088276,1.2104355855331124,1.5395072186773153,3.9159651292982125e-07,11161.0,646.0,10515.0,1661.0,195.0,1466.0,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,19,19,PASS,,frail,,,,,,,risk_ratio,2.2401179966021814,0.10756398745521574,1.8143132112262228,2.7658557561345294,6.473569176629057e-14,11161.0,646.0,10515.0,1661.0,195.0,1466.0,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,21,21,PASS,,prefrail,6223.0,348.0,5875.0,651.0,39.0,612.0,risk_ratio,1.365294420893945,0.06135875434651905,1.2105915805608303,1.5397669087212589,3.883464737086792e-07,11161.0,646.0,10515.0,1661.0,195.0,1466.0,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,21,21,PASS,,frail,6223.0,348.0,5875.0,651.0,39.0,612.0,risk_ratio,2.239474635362978,0.1075988753844253,1.8136681197916926,2.7652504819956625,6.730294311489355e-14,11161.0,646.0,10515.0,1661.0,195.0,1466.0,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,21,21,PASS,,loss_1,6223.0,348.0,5875.0,651.0,39.0,612.0,risk_ratio,0.9632824201681693,0.10780216127457058,0.7798162277311815,1.1899124280918605,0.7285823357368553,11161.0,646.0,10515.0,1661.0,195.0,1466.0,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,21,21,PASS,,loss_2plus,6223.0,348.0,5875.0,651.0,39.0,612.0,risk_ratio,0.9164065627794235,0.23102616950323468,0.5826910650464369,1.4412456937850429,0.7055358252740297,11161.0,646.0,10515.0,1661.0,195.0,1466.0,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,18,18,PASS,,any_withdrawal,,,,,,,risk_ratio,0.9631999982139746,0.10491267732352463,0.7841779750848188,1.1830914231671097,0.7208036823601847,,,,,,,6874.0,387.0,6487.0,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,20,20,PASS,,prefrail,,,,,,,risk_ratio,1.3650062598165957,0.06135138293743931,1.2103535579900762,1.5394196819916057,3.941693334607128e-07,11161.0,646.0,10515.0,1661.0,195.0,1466.0,6874.0,387.0,6487.0,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,20,20,PASS,,frail,,,,,,,risk_ratio,2.2394559216390317,0.10756047021481589,1.8137894880181296,2.7650192362973915,6.598321301088554e-14,11161.0,646.0,10515.0,1661.0,195.0,1466.0,6874.0,387.0,6487.0,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,20,20,PASS,,any_withdrawal,,,,,,,risk_ratio,0.9699668012526036,0.10453406007461954,0.7902733138246228,1.1905192533693445,0.770509804337837,11161.0,646.0,10515.0,1661.0,195.0,1466.0,6874.0,387.0,6487.0,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,26645,18995,1340,25305,20,20,PASS,,fried4,6224.0,348.0,5876.0,651.0,39.0,612.0,risk_ratio,1.2744962328251122,0.031171739693954592,1.1989611840135603,1.3547900208477734,7.188632720214503e-15,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,26645,18995,1340,25305,20,20,PASS,,loss_1,6224.0,348.0,5876.0,651.0,39.0,612.0,risk_ratio,0.9656867737723599,0.10769259854374211,0.7819305425494878,1.1926263194660267,0.7457739150110124,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,26645,18995,1340,25305,20,20,PASS,,loss_2plus,6224.0,348.0,5876.0,651.0,39.0,612.0,risk_ratio,0.9307474114234735,0.2307448535046083,0.5921359945874716,1.462992879659381,0.7557818490701562,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,27709,19596,1415,26294,20,20,PASS,,fi_per_0_1,6570.0,374.0,6196.0,693.0,45.0,648.0,risk_ratio,1.2126142961458086,0.026162834004767044,1.1520009556913344,1.276416850136,1.7266927445923552e-13,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,27709,19596,1415,26294,20,20,PASS,,loss_1,6570.0,374.0,6196.0,693.0,45.0,648.0,risk_ratio,0.9443092411786123,0.10427949146404997,0.769752974392809,1.1584494930711071,0.5826623650540088,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,27709,19596,1415,26294,20,20,PASS,,loss_2plus,6570.0,374.0,6196.0,693.0,45.0,648.0,risk_ratio,0.9587176169510596,0.21833820234186363,0.624943698169274,1.4707556404598836,0.8468892743052099,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,24983,17893,1145,23838,19,19,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,5308.0,245.0,5063.0,477.0,18.0,459.0,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,24983,17893,1145,23838,18,18,PASS,,any_withdrawal,,,,,,,risk_ratio,1.0057438639506482,0.11218758566752582,0.8072222898299024,1.2530881922097656,0.9592838697639113,,,,,,,5785.0,263.0,5522.0,,,,,,,,,
share,incident_heart_disease,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,20,20,PASS,,withdrawal_only,,,,,,,risk_ratio,0.9891516360135492,0.10618210728582297,0.8033050553187171,1.2179942757114672,0.9181806366369497,,,,,,,,,,5785.0,263.0,5522.0,572.0,71.0,501.0,1089.0,124.0,965.0
share,incident_heart_disease,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,20,20,PASS,,frailty_only,,,,,,,risk_ratio,1.8823482687151643,0.12270260082897512,1.479978259381706,2.394112874479144,2.537614655142371e-07,,,,,,,,,,5785.0,263.0,5522.0,572.0,71.0,501.0,1089.0,124.0,965.0
share,incident_heart_disease,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,26644,18995,1340,25304,20,20,PASS,,both,,,,,,,risk_ratio,1.5619545023686292,0.15550538047584528,1.1516008041597485,2.1185308821052193,0.004135081942612473,,,,,,,,,,5785.0,263.0,5522.0,572.0,71.0,501.0,1089.0,124.0,965.0
share,incident_hypertension,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,15238,11095,1750,13488,17,17,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_hypertension,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,15238,11095,1750,13488,19,19,PASS,,loss_1,3485.0,419.0,3066.0,343.0,43.0,300.0,risk_ratio,0.9317618852739447,0.08861540398221067,0.7832048579247527,1.1084969686598485,0.42511353431524423,,,,,,,,,,,,,,,,,,
share,incident_hypertension,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,15238,11095,1750,13488,19,19,PASS,,loss_2plus,3485.0,419.0,3066.0,343.0,43.0,300.0,risk_ratio,0.8519465943982019,0.20522242874734412,0.5698056131303074,1.2737905401095269,0.4349380078368841,,,,,,,,,,,,,,,,,,
share,incident_hypertension,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,15238,11095,1750,13488,19,19,PASS,,prefrail,,,,,,,risk_ratio,1.1336139818163518,0.04994566273015743,1.0279011894260277,1.2501986309473028,0.012040892503842188,6093.0,781.0,5312.0,767.0,147.0,620.0,,,,,,,,,,,,
