cohort,outcome_id,analysis_family,exposure_model,model_id,state_adjustment,outcome_coding_status,deaths_in_risk_set,entered_through_death,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
klosa,incident_any_iadl,competing_composite,any,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,15177,5334,857,14320,16,16,4495.0,315.0,4180.0,PASS,,any_withdrawal,risk_ratio,1.3318047955939287,0.069026088060675,1.1632832149713874,1.5247396255181187,3.308640245192254e-05,,,,,,
klosa,incident_any_iadl,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,15177,5334,857,14320,19,19,4495.0,315.0,4180.0,PASS,,any_withdrawal,risk_ratio,1.2938194344818845,0.11783088843290737,1.0270127525588457,1.629939574627734,0.028802988748557277,,,,,,
klosa,incident_any_iadl,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,414,414,15591,5470,1271,14320,16,16,4664.0,484.0,4180.0,PASS,,any_withdrawal,risk_ratio,1.382543287655388,0.05510129289442972,1.2410132902754352,1.5402139181094021,4.134649808137594e-09,,,,,,
klosa,incident_any_iadl,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,414,414,15591,5470,1271,14320,19,19,4664.0,484.0,4180.0,PASS,,any_withdrawal,risk_ratio,1.183125901838435,0.09740378644075567,0.977508874736639,1.4319940573205963,0.08427158449276094,,,,,,
klosa,incident_any_iadl,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,15177,5334,857,14320,17,17,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4194.0,297.0,3897.0,301.0,18.0,283.0
klosa,incident_any_iadl,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,15177,5334,857,14320,20,20,,,,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,4194.0,297.0,3897.0,301.0,18.0,283.0
klosa,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,414,414,15591,5470,1271,14320,17,17,,,,PASS,,loss_1,risk_ratio,1.365905658505285,0.05582783048372587,1.2243341652182467,1.523847264038557,2.332367090104763e-08,4347.0,450.0,3897.0,317.0,34.0,283.0
klosa,incident_any_iadl,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMPLETE_ITEM_COUNTS,414,414,15591,5470,1271,14320,17,17,,,,PASS,,loss_2plus,risk_ratio,1.7296810374374985,0.16977074915814575,1.2401005513272987,2.4125434732439195,0.001248720863038766,4347.0,450.0,3897.0,317.0,34.0,283.0
klosa,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,414,414,15591,5470,1271,14320,20,20,,,,PASS,,loss_1,risk_ratio,1.2112313106852979,0.10041987110835038,0.9948315263854064,1.4747032528360629,0.05634445980696822,4347.0,450.0,3897.0,317.0,34.0,283.0
klosa,incident_any_iadl,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMPLETE_ITEM_COUNTS,414,414,15591,5470,1271,14320,20,20,,,,PASS,,loss_2plus,risk_ratio,1.4309472532735372,0.24123913348215797,0.8918267663077373,2.295972849220948,0.13743786168433092,4347.0,450.0,3897.0,317.0,34.0,283.0
klosa,multimorbidity_progression,competing_composite,any,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,16408,5574,1629,14779,16,16,5040.0,481.0,4559.0,PASS,,any_withdrawal,risk_ratio,0.9949432982557584,0.053151044659428257,0.8965119437356067,1.1041817944100756,0.924013248120849,,,,,,
klosa,multimorbidity_progression,competing_composite,any,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,16408,5574,1629,14779,19,19,5040.0,481.0,4559.0,PASS,,any_withdrawal,risk_ratio,1.1571650829699225,0.08217790908226258,0.9850207006106008,1.359393795901691,0.07568248084308844,,,,,,
klosa,multimorbidity_progression,competing_composite,any,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,611,611,17019,5773,2240,14779,16,16,5349.0,790.0,4559.0,PASS,,any_withdrawal,risk_ratio,1.1858042352905753,0.042119185628106494,1.091845230611865,1.2878489047802832,5.206328233548447e-05,,,,,,
klosa,multimorbidity_progression,competing_composite,any,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,611,611,17019,5773,2240,14779,19,19,5349.0,790.0,4559.0,PASS,,any_withdrawal,risk_ratio,1.1508477881859518,0.07100988172652194,1.0013229414753013,1.3227007758567033,0.04786308142779279,,,,,,
klosa,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,16408,5574,1629,14779,17,17,,,,PASS,,loss_1,risk_ratio,0.9973755305123528,0.05414938883520304,0.8969467606619224,1.1090490455985291,0.9612931259956792,4678.0,448.0,4230.0,362.0,33.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,survivors,unconditional,PASS_STRICT_COMMON_SIX,0,0,16408,5574,1629,14779,17,17,,,,PASS,,loss_2plus,risk_ratio,0.9571327290089747,0.17353568035843425,0.6811744161831162,1.3448876516435357,0.80067489986409,4678.0,448.0,4230.0,362.0,33.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,16408,5574,1629,14779,20,20,,,,PASS,,loss_1,risk_ratio,1.1674593562047817,0.0828342352037775,0.992506000689858,1.3732525016904022,0.06160146718526306,4678.0,448.0,4230.0,362.0,33.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,survivors,current_state_held,PASS_STRICT_COMMON_SIX,0,0,16408,5574,1629,14779,20,20,,,,PASS,,loss_2plus,risk_ratio,1.317219367414328,0.2192720754070034,0.8570642471183135,2.0244303361447824,0.2089221675824372,4678.0,448.0,4230.0,362.0,33.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,611,611,17019,5773,2240,14779,17,17,,,,PASS,,loss_1,risk_ratio,1.1714069597118828,0.0431390640552253,1.0764348805242117,1.2747582692537738,0.00024508812712783714,4955.0,725.0,4230.0,394.0,65.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,death_or_outcome,unconditional,PASS_STRICT_COMMON_SIX,611,611,17019,5773,2240,14779,17,17,,,,PASS,,loss_2plus,risk_ratio,1.423086843457681,0.11950191438815333,1.1259294782104852,1.798670523522569,0.003152210969672511,4955.0,725.0,4230.0,394.0,65.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,611,611,17019,5773,2240,14779,20,20,,,,PASS,,loss_1,risk_ratio,1.1823220153451903,0.07237565486674895,1.0259578228750568,1.362517363581865,0.020665411318005627,4955.0,725.0,4230.0,394.0,65.0,329.0
klosa,multimorbidity_progression,competing_composite,graded,death_or_outcome,current_state_held,PASS_STRICT_COMMON_SIX,611,611,17019,5773,2240,14779,20,20,,,,PASS,,loss_2plus,risk_ratio,1.457424313555087,0.17212937179816212,1.0400859349903655,2.0422212802648776,0.028647754944694962,4955.0,725.0,4230.0,394.0,65.0,329.0
