cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
charls,incident_diabetes,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_stroke,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1149,1149,7,1142,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1149,1149,7,1142,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1132,1132,7,1125,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1132,1132,7,1125,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,931,931,5,926,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,931,931,5,926,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1133,1133,7,1126,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1133,1133,7,1126,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_stroke,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_stroke,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_stroke,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1000,1000,34,966,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1000,1000,34,966,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,980,980,34,946,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,980,980,34,946,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,807,807,31,776,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,807,807,31,776,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,987,987,34,953,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,987,987,34,953,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,772,772,50,722,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,772,772,50,722,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,760,760,51,709,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,760,760,51,709,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,610,610,37,573,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,610,610,37,573,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,764,764,51,713,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,764,764,51,713,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_hypertension,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_cancer,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1176,1176,2,1174,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,1176,1176,2,1174,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1156,1156,2,1154,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,1156,1156,2,1154,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,958,958,1,957,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,958,958,1,957,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1162,1162,2,1160,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,1162,1162,2,1160,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_cancer,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_cancer,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_cancer,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_cancer,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,711,711,21,690,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,711,711,21,690,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,692,692,21,671,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,692,692,21,671,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,579,579,17,562,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,579,579,17,562,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,705,705,22,683,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,705,705,22,683,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,16,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
charls,incident_arthritis,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,21,0,NOT_EVALUABLE_CLUSTERS,,,,,,,,,,,,
elsa,incident_diabetes,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,19026,7408,322,18704,19,19,PASS,3875.0,85.0,3790.0,,any_withdrawal,risk_ratio,1.0792154285005444,0.2264915521377533,0.6923380279433601,1.6822793117019104,0.7364275584496417,
elsa,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,19026,7408,322,18704,20,20,PASS,3875.0,85.0,3790.0,,any_withdrawal,risk_ratio,1.0783622782943318,0.2264220907868306,0.6918849032309045,1.6807205906905822,0.7389845162638282,1.037381574064299
elsa,incident_diabetes,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,19026,7408,322,18704,20,20,PASS,3875.0,85.0,3790.0,,context_self_rated_health_worsening,risk_ratio,1.200794050570193,0.1191137730868055,0.9507770716897612,1.5165556625404886,0.124488371555804,1.037381574064299
elsa,incident_diabetes,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,24563,7554,425,24138,21,21,PASS,4980.0,105.0,4875.0,,any_withdrawal,risk_ratio,0.9492535629251768,0.2017019914997816,0.6392830496924233,1.4095201290878558,0.7962530466637312,
elsa,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,24563,7554,425,24138,22,22,PASS,4980.0,105.0,4875.0,,any_withdrawal,risk_ratio,0.9462182014458468,0.2014034038025977,0.6376118939531632,1.404191002768811,0.7837124394207894,-6.149759143949948
elsa,incident_diabetes,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,24563,7554,425,24138,22,22,PASS,4980.0,105.0,4875.0,,context_cesd_worsening,risk_ratio,1.129585747481069,0.1059401510141583,0.9177888642893248,1.390258708249187,0.2500669142446451,-6.149759143949948
elsa,incident_diabetes,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,12683,6536,255,12428,18,18,PASS,2602.0,65.0,2537.0,,any_withdrawal,risk_ratio,0.9087514709753738,0.2603762119503461,0.5455222810749875,1.513832275324401,0.7132593431727423,
elsa,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,12683,6536,255,12428,19,19,PASS,2602.0,65.0,2537.0,,any_withdrawal,risk_ratio,0.9079896737221804,0.260172507055954,0.5452826381723902,1.5119594681198425,0.7106424761061574,-0.8764733629095354
elsa,incident_diabetes,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,12683,6536,255,12428,19,19,PASS,2602.0,65.0,2537.0,,context_bmi_or_weight_loss,risk_ratio,1.2016597179197008,0.2769842607208498,0.6982518142796611,2.0680018986567434,0.5071845824633041,-0.8764733629095354
elsa,incident_diabetes,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,24697,7581,428,24269,21,21,PASS,5011.0,106.0,4905.0,,any_withdrawal,risk_ratio,0.9883892845939014,0.1990135279853725,0.6691560460398801,1.4599186298644349,0.9532048592752526,
elsa,incident_diabetes,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,24697,7581,428,24269,22,22,PASS,5011.0,106.0,4905.0,,any_withdrawal,risk_ratio,0.9903293571495166,0.199050521973509,0.6704208956552912,1.462890315603239,0.9610625004256214,16.790806774916334
elsa,incident_diabetes,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,24697,7581,428,24269,22,22,PASS,5011.0,106.0,4905.0,,context_incident_non_target_disease,risk_ratio,0.8672021827751528,0.1467026346813235,0.6504993295657026,1.156095927588548,0.331429918335853,16.790806774916334
elsa,incident_diabetes,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,3721,3721,77,3644,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_diabetes,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,3721,3721,77,3644,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_diabetes,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,3466,3466,70,3396,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_diabetes,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,3466,3466,70,3396,20,20,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_stroke,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,20339,7858,211,20128,19,19,PASS,4221.0,53.0,4168.0,,any_withdrawal,risk_ratio,0.7542700653588812,0.3018879537125334,0.4174066657059597,1.3629953190476034,0.3502330730316327,
elsa,incident_stroke,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,20339,7858,211,20128,20,20,PASS,4221.0,53.0,4168.0,,any_withdrawal,risk_ratio,0.7482367521869068,0.3014784159021228,0.4144003784649989,1.351008026095462,0.3360269418704151,-2.847837796822726
elsa,incident_stroke,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,20339,7858,211,20128,20,20,PASS,4221.0,53.0,4168.0,,context_self_rated_health_worsening,risk_ratio,1.40671442585982,0.1446351802542756,1.0594787550283584,1.867753804906788,0.0183029628359619,-2.847837796822726
elsa,incident_stroke,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,26240,8001,290,25950,21,21,PASS,5409.0,70.0,5339.0,,any_withdrawal,risk_ratio,0.7089649782146634,0.2605313179714678,0.4254613583552145,1.1813795318052718,0.1867737563336938,
elsa,incident_stroke,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,26240,8001,290,25950,22,22,PASS,5409.0,70.0,5339.0,,any_withdrawal,risk_ratio,0.7122544764707375,0.2606480283303109,0.4273376756381827,1.1871324907053815,0.1929737215729314,1.345875996929799
elsa,incident_stroke,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,26240,8001,290,25950,22,22,PASS,5409.0,70.0,5339.0,,context_cesd_worsening,risk_ratio,0.8648174603283774,0.1360316774766558,0.6624209748692265,1.1290542843038371,0.2856697877581462,1.345875996929799
elsa,incident_stroke,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,13489,6912,128,13361,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_stroke,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,13489,6912,128,13361,19,19,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_stroke,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,26376,8028,292,26084,21,21,PASS,5441.0,70.0,5371.0,,any_withdrawal,risk_ratio,0.6943585559993699,0.2603413749964981,0.4168509649459234,1.1566095435381216,0.1611813003614759,
elsa,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,26376,8028,292,26084,22,22,PASS,5441.0,70.0,5371.0,,any_withdrawal,risk_ratio,0.6930776123916861,0.2605275056090378,0.4159302008379809,1.154897085690769,0.1593692461534451,-0.5062112750445771
elsa,incident_stroke,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,26376,8028,292,26084,22,22,PASS,5441.0,70.0,5371.0,,context_incident_non_target_disease,risk_ratio,1.0864605219557273,0.1749600688950097,0.7710591045384111,1.5308767626509605,0.6355239043819749,-0.5062112750445771
elsa,incident_stroke,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,4005,4005,29,3976,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_stroke,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,4005,4005,29,3976,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_stroke,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,3729,3729,27,3702,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_stroke,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,3729,3729,27,3702,20,20,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_heart_disease,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,17259,6851,675,16584,19,19,PASS,3553.0,162.0,3391.0,,any_withdrawal,risk_ratio,1.0598640483020545,0.1595427817241594,0.775259503389442,1.4489494110966583,0.7155441077959359,
elsa,incident_heart_disease,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,17259,6851,675,16584,20,20,PASS,3553.0,162.0,3391.0,,any_withdrawal,risk_ratio,1.055758039872874,0.1594342378944589,0.772420387283388,1.443029025523734,0.7336138084546879,6.676247834325226
elsa,incident_heart_disease,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,17259,6851,675,16584,20,20,PASS,3553.0,162.0,3391.0,,context_self_rated_health_worsening,risk_ratio,1.2060653173002804,0.0811470654796726,1.0287226956091775,1.413980225966786,0.0209472175137058,6.676247834325226
elsa,incident_heart_disease,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,22362,6985,883,21479,21,21,PASS,4568.0,207.0,4361.0,,any_withdrawal,risk_ratio,1.020032304952352,0.1417504954671911,0.7726017469742796,1.3467040518885154,0.88872002748664,
elsa,incident_heart_disease,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,22362,6985,883,21479,22,22,PASS,4568.0,207.0,4361.0,,any_withdrawal,risk_ratio,1.0165559935474646,0.1418250758987366,0.7698561470149756,1.342310627802483,0.9078272931460736,17.211907586479487
elsa,incident_heart_disease,clinical_context,plus_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,22362,6985,883,21479,22,22,PASS,4568.0,207.0,4361.0,,context_cesd_worsening,risk_ratio,1.0976816777460552,0.0725663837962606,0.9521553177014408,1.2654501248473902,0.199020699906265,17.211907586479487
elsa,incident_heart_disease,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,11493,6013,443,11050,18,18,PASS,2392.0,104.0,2288.0,,any_withdrawal,risk_ratio,1.046402355734556,0.202982471416985,0.7029423610695447,1.557678055453682,0.8231794669428982,
elsa,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,11493,6013,443,11050,19,19,PASS,2392.0,104.0,2288.0,,any_withdrawal,risk_ratio,1.0388042679435363,0.2027148891665858,0.6982042672335087,1.545556734239789,0.8510316833685286,16.06695889510376
elsa,incident_heart_disease,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,11493,6013,443,11050,19,19,PASS,2392.0,104.0,2288.0,,context_bmi_or_weight_loss,risk_ratio,1.3240963827499517,0.1872951730515183,0.9172625421878072,1.9113734074758897,0.1339085581541589,16.06695889510376
elsa,incident_heart_disease,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,22485,7019,891,21594,21,21,PASS,4599.0,209.0,4390.0,,any_withdrawal,risk_ratio,1.0226281321837865,0.1407401335240896,0.7761032766766662,1.3474602261850506,0.8736787682798749,
elsa,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,22485,7019,891,21594,22,22,PASS,4599.0,209.0,4390.0,,any_withdrawal,risk_ratio,1.0222562449491313,0.1408270970867678,0.7756888163601198,1.3471998155666909,0.875791440799189,1.6255178226425278
elsa,incident_heart_disease,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,22485,7019,891,21594,22,22,PASS,4599.0,209.0,4390.0,,context_incident_non_target_disease,risk_ratio,1.0177556367927714,0.0998381385231977,0.8368760491222162,1.2377299330168652,0.86007098510151,1.6255178226425278
elsa,incident_heart_disease,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,3327,3327,144,3183,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_heart_disease,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,3327,3327,144,3183,16,16,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_heart_disease,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,3103,3103,138,2965,15,15,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,3103,3103,138,2965,20,20,NOT_EVALUABLE_EPV,,,,,,,,,,,,
elsa,incident_hypertension,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,11821,4803,629,11192,19,19,PASS,2375.0,136.0,2239.0,,any_withdrawal,risk_ratio,0.856973565197325,0.1668108942625803,0.6179847170098527,1.1883848762481697,0.3548158451343071,
elsa,incident_hypertension,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,11821,4803,629,11192,20,20,PASS,2375.0,136.0,2239.0,,any_withdrawal,risk_ratio,0.85670750887018,0.1667980000121441,0.617808470471106,1.18798590636817,0.3538114692694996,-0.201174070073957
elsa,incident_hypertension,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,11821,4803,629,11192,20,20,PASS,2375.0,136.0,2239.0,,context_self_rated_health_worsening,risk_ratio,1.0334202429920478,0.0869573713305739,0.871482590594414,1.2254489190625362,0.7053960890072789,-0.201174070073957
elsa,incident_hypertension,clinical_context,base_same_set_cesd_worsening,PASS_BASELINE_FREE_RISK_SET,15137,4903,810,14327,21,21,PASS,3008.0,176.0,2832.0,,any_withdrawal,risk_ratio,0.9673463522657934,0.1436661505174926,0.7299500611749655,1.2819492935389172,0.8172510211777442,
