exposure_model,term,outcome_id,estimate_scale,effect_scale,k_cohorts,cohorts,pooled_estimate,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_analysis_scale,direction_consistency,cohort_estimates
score_categorical,loss_1,incident_any_adl,risk_ratio,risk_ratio,3,elsa;hrs;share,1.4755226433841533,1.3900978132320216,1.5661970333421191,1.2372538416386165,1.7596769538059576,0.0,4.2300630066830894e-13,1.0,elsa:1.4735;hrs:1.4551;share:1.5264
score_categorical,loss_2plus,incident_any_adl,risk_ratio,risk_ratio,3,elsa;hrs;share,1.991662031877817,1.7112968597124472,2.31795998847927,1.2724314624790094,3.117431285057612,0.0,4.2300630066830894e-13,1.0,elsa:2.0757;hrs:2.0409;share:1.8239
any_withdrawal,any_withdrawal,incident_any_iadl,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.4815967358455269,1.2550579852919024,1.7490258724241934,1.0142557510866808,2.164275514648296,0.7083681131468843,0.010607971993950548,1.0,charls:1.1599;elsa:1.7575;hrs:1.4843;klosa:1.3318;share:1.5209
mutually_adjusted_components,activity_loss,incident_any_iadl,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.5847879482152252,1.2354980818319385,2.032826175726805,0.7987198334525838,3.1444728622196183,0.8209790319314608,0.01923982600826258,1.0,elsa:1.8036;hrs:1.5177;klosa:1.2709;share:1.7682
mutually_adjusted_components,alcohol_loss,incident_any_iadl,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.4471176256854401,1.2511712399234463,1.6737512466299955,1.0881130050654892,1.9245697945163578,0.2934955176506586,0.002301370458021673,1.0,elsa:1.6738;hrs:1.4564;klosa:1.3863;share:1.3339
mutually_adjusted_components,work_loss,incident_any_iadl,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.2113955040947835,1.1271358907189963,1.3019539874690305,1.0988930242519337,1.3354157638229018,0.0,4.2300630066830894e-13,1.0,elsa:1.267;hrs:1.2207;klosa:1.2379;share:1.1047
score_categorical,loss_1,incident_any_iadl,risk_ratio,risk_ratio,3,elsa;hrs;share,1.5175123607801366,1.1999954301207365,1.9190437790990627,0.4526915098532427,5.0870045384042175,0.702360187031488,0.006085989390790339,1.0,elsa:1.7117;hrs:1.4519;share:1.4362
score_categorical,loss_2plus,incident_any_iadl,risk_ratio,risk_ratio,3,elsa;hrs;share,2.4467910376653186,1.509412246642051,3.9663030396884422,0.18983525919547045,31.536746162812804,0.7006891567170057,0.02787342095852522,1.0,elsa:2.742;hrs:2.009;share:2.8047
any_withdrawal,any_withdrawal,incident_diabetes,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.2645372472097998,1.2076649246074866,1.3240878467184598,1.1882607828633742,1.3457100264873396,0.0,4.2300630066830894e-13,1.0,elsa:1.2913;hrs:1.2358;klosa:1.2675;share:1.3089
mutually_adjusted_components,activity_loss,incident_diabetes,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.3221166547837502,1.173903593502673,1.489042591343421,1.1257872481300562,1.552684534098256,0.0,4.2300630066830894e-13,1.0,elsa:1.3458;hrs:1.2655;klosa:1.2491;share:1.465
mutually_adjusted_components,alcohol_loss,incident_diabetes,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.2743554563040185,1.0359424994949116,1.5676370356497766,0.9631012109784117,1.6862005887854972,0.1631398858688885,4.2300630066830894e-13,1.0,elsa:1.7658;hrs:1.2617;klosa:1.3439;share:1.1649
mutually_adjusted_components,work_loss,incident_diabetes,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.1736885891534585,1.134504339375759,1.2142262100707393,1.1210252210618645,1.2288259696817427,0.0,4.2300630066830894e-13,1.0,elsa:1.2311;hrs:1.1597;klosa:1.1687;share:1.1875
any_withdrawal,any_withdrawal,incident_heart_disease,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.152935092926285,1.0788910949674932,1.2320607100209604,1.05397558194864,1.2611860760980282,0.0,4.2300630066830894e-13,1.0,elsa:1.2387;hrs:1.1196;klosa:1.1348;share:1.1713
mutually_adjusted_components,activity_loss,incident_heart_disease,risk_ratio,risk_ratio,3,elsa;hrs;share,1.1238722020248677,0.7693334371527201,1.641796216681909,0.14224152942119575,8.879887130178798,0.7969243394205358,0.018704399901506224,1.0,elsa:1.0595;hrs:1.0055;share:1.3318
mutually_adjusted_components,alcohol_loss,incident_heart_disease,risk_ratio,risk_ratio,3,elsa;hrs;share,1.148807367053431,0.8981039404861803,1.4694940163404664,0.4118965728324014,3.2041013536989036,0.19611443120879293,0.0032424899440563304,1.0,elsa:1.2667;hrs:1.2111;share:1.0389
mutually_adjusted_components,work_loss,incident_heart_disease,risk_ratio,risk_ratio,3,elsa;hrs;share,1.1905720617860323,0.8502058734798333,1.6671983557392651,0.2860348281235978,4.955556788675215,0.3947387230811739,0.006472517637106487,1.0,elsa:1.3408;hrs:1.2455;share:1.0057
any_withdrawal,any_withdrawal,incident_hypertension,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.054738003417867,0.878426219350139,1.2664378992204,0.6964953421588914,1.597242922552266,0.5669701995575079,0.005998866603363217,0.75,elsa:1.1333;hrs:1.1079;klosa:0.85363;share:1.0812
mutually_adjusted_components,activity_loss,incident_hypertension,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.0879100397055819,0.7935123975071497,1.4915308925359754,0.48118598296250165,2.4596482366454,0.7069912603419992,0.026115091039076735,0.75,elsa:1.2331;hrs:1.1461;klosa:0.77925;share:1.1909
mutually_adjusted_components,alcohol_loss,incident_hypertension,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.060297345405598,0.9436594047642614,1.1913519379961095,0.9057324770029971,1.2412389852621324,0.0,4.2300630066830894e-13,1.0,elsa:1.2913;hrs:1.0654;klosa:1.0409;share:1.0204
mutually_adjusted_components,work_loss,incident_hypertension,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.0059390130995036,0.8520544532193786,1.1876157612371119,0.7508623928514452,1.3476681049809962,0.11514779361210534,0.0018983707504438238,0.5,elsa:1.0378;hrs:1.0904;klosa:0.83892;share:0.96713
any_withdrawal,any_withdrawal,incident_stroke,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.2388787226978775,1.1132939581866927,1.3786300359101955,1.0721871516380024,1.4314856200326103,0.0,4.2300630066830894e-13,1.0,elsa:1.1727;hrs:1.2415;klosa:1.0511;share:1.3092
any_withdrawal,any_withdrawal,mortality,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.884666752051677,1.7437080570034782,2.037020332631251,1.564514202430144,2.270333347419781,0.12998637931175408,0.001275619836216166,1.0,elsa:1.8703;hrs:1.8143;klosa:1.9011;share:2.0026
mutually_adjusted_components,activity_loss,mortality,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.8721197867929844,1.7110066989970913,2.048403725219879,1.4892200766367523,2.3534684705682367,0.27142888816586774,0.0020286266240549817,1.0,elsa:1.8849;hrs:1.7809;klosa:1.9176;share:1.9914
mutually_adjusted_components,alcohol_loss,mortality,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.82043374152743,1.6885711200735003,1.9625936792921737,1.6444654935690355,2.01523170917933,0.0,4.2300630066830894e-13,1.0,elsa:1.617;hrs:1.8492;klosa:1.978;share:1.7468
mutually_adjusted_components,work_loss,mortality,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.6267271033836055,1.4003042964594918,1.8897614436901546,1.3283430213199856,1.9921368399656463,0.0,4.2300630066830894e-13,1.0,elsa:2.1978;hrs:1.5524;klosa:1.6661;share:1.7168
score_categorical,loss_1,mortality,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.7887435443092268,1.6532429797301247,1.9353497982675467,1.481595140900582,2.1595666582458333,0.10780704824857608,0.0013044728770457998,1.0,elsa:1.7853;hrs:1.7177;klosa:1.8247;share:1.8963
score_categorical,loss_2plus,mortality,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,3.4099879859960645,3.2652863654168733,3.5611020790677164,3.215826780970504,3.6158720156961555,0.0,4.446780338810134e-13,1.0,elsa:3.5474;hrs:3.354;klosa:3.6251;share:3.4691
any_withdrawal,any_withdrawal,multimorbidity_progression,risk_ratio,risk_ratio,5,charls;elsa;hrs;klosa;share,1.1281007279737003,1.072808231475486,1.186242997692614,1.062898699608337,1.1973024832222785,0.405823757231718,2.2334042098978475e-05,0.8,charls:1.0298;elsa:1.1541;hrs:1.1449;klosa:0.99494;share:1.1268
mutually_adjusted_components,activity_loss,multimorbidity_progression,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.1079280141701908,0.9451892948279662,1.2986864020783482,0.7333797806650805,1.6737637400773646,0.7431838660306227,0.006703157282785696,0.75,elsa:1.1403;hrs:1.1212;klosa:0.93488;share:1.1987
mutually_adjusted_components,alcohol_loss,multimorbidity_progression,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.1357880625933845,1.004970733895918,1.2836339204910987,0.8528317749876088,1.5126248352418359,0.5523103399215028,0.0029559344582627822,1.0,elsa:1.2777;hrs:1.1624;klosa:1.0573;share:1.0696
mutually_adjusted_components,work_loss,multimorbidity_progression,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.0924071502712869,1.02541725257679,1.1637734580387,0.9855139440573775,1.210894466952723,0.0,0.0001773644654999461,1.0,elsa:1.097;hrs:1.1283;klosa:1.0353;share:1.0521
score_categorical,loss_1,multimorbidity_progression,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.1156496010947934,1.053152947472199,1.1818549579246451,1.0319977770833866,1.2060820866694566,0.3853009711956507,4.2300630066830894e-13,0.75,elsa:1.1367;hrs:1.13;klosa:0.99738;share:1.1138
score_categorical,loss_2plus,multimorbidity_progression,risk_ratio,risk_ratio,4,elsa;hrs;klosa;share,1.2922457191440642,1.1285348250973364,1.4797053325333847,1.0759870105503004,1.5519694775795758,0.2589096506393773,4.2300630066830894e-13,0.75,elsa:1.4446;hrs:1.3122;klosa:0.95713;share:1.2747
any_withdrawal,any_withdrawal,word_recall_change,mean_difference,standardized_mean_difference,5,charls;elsa;hrs;klosa;share,-0.06463750438667129,-0.08950005684681107,-0.03977495192653151,-0.10317187794898985,-0.02610313082435272,0.38487782072903987,6.642494753382328e-05,0.8,charls:0.010882;elsa:-0.058261;hrs:-0.069591;klosa:-0.031428;share:-0.080369
mutually_adjusted_components,activity_loss,word_recall_change,mean_difference,standardized_mean_difference,4,elsa;hrs;klosa;share,-0.05335806426892305,-0.12493544062774357,0.01821931208989748,-0.24641696185852302,0.1397008333206769,0.7780974877977993,0.001507434440158761,0.75,elsa:-0.061529;hrs:-0.055277;klosa:0.014528;share:-0.098387
mutually_adjusted_components,alcohol_loss,word_recall_change,mean_difference,standardized_mean_difference,4,elsa;hrs;klosa;share,-0.07929297675195064,-0.13459510401448063,-0.023990849489420644,-0.19421456101596135,0.035628607512060054,0.45193416655210744,0.0004114275102549132,1.0,elsa:-0.11418;hrs:-0.069696;klosa:-0.14877;share:-0.055167
mutually_adjusted_components,work_loss,word_recall_change,mean_difference,standardized_mean_difference,4,elsa;hrs;klosa;share,-0.04790058959391694,-0.06354060630564286,-0.032260572882191016,-0.06904582025335214,-0.02675535893448174,0.0,4.2300630066830894e-13,1.0,elsa:-0.03261;hrs:-0.054211;klosa:-0.05209;share:-0.050328
score_categorical,loss_1,word_recall_change,mean_difference,standardized_mean_difference,4,elsa;hrs;klosa;share,-0.060548136576508746,-0.09189421684635968,-0.029202056306657807,-0.12513081601136222,0.004034542858344731,0.4548819618607226,0.0001282829250383344,1.0,elsa:-0.04931;hrs:-0.068267;klosa:-0.02447;share:-0.076325
score_categorical,loss_2plus,word_recall_change,mean_difference,standardized_mean_difference,4,elsa;hrs;klosa;share,-0.12558594723793415,-0.20110634272093098,-0.05006555175493732,-0.2884486021251149,0.03727670764924665,0.3218810197582036,0.0008696230536400183,1.0,elsa:-0.19748;hrs:-0.08343;klosa:-0.15049;share:-0.12372
