cohort,scope,outcome_id,adjustment,exposure_model,analysis_family,outcome_coding_status,n,people,parameters,matrix_rank,events,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,standardized_estimate,standardized_standard_error,standardized_ci_low,standardized_ci_high,extended_loss_1_n,extended_loss_1_events,extended_loss_1_nonevents,extended_loss_2plus_n,extended_loss_2plus_events,extended_loss_2plus_nonevents,work_exit_retirement_n,work_exit_retirement_events,work_exit_retirement_nonevents,work_exit_no_retirement_n,work_exit_no_retirement_events,work_exit_no_retirement_nonevents
charls,comparable_22_30_months,incident_hypertension,full,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,777,777,12,12,51.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_hypertension,full,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,777,777,13,13,51.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_hypertension,full,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,777,777,14,14,51.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,basic,any_withdrawal,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1318,1318,7,7,216.0,PASS,518.0,98.0,420.0,,any_withdrawal,risk_ratio,1.198809970310731,0.1257362313647387,0.936965223939086,1.5338299738324632,0.1492626032188282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,basic,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1318,1318,8,8,216.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,426.0,79.0,347.0,92.0,19.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1318,1318,9,9,216.0,PASS,,,,,alcohol_loss,risk_ratio,1.441687870273335,0.1943514636560242,0.9850062331127416,2.110102297246445,0.0598045120301047,,,,,,,117.0,25.0,92.0,310.0,61.0,249.0,195.0,33.0,162.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1318,1318,9,9,216.0,PASS,,,,,activity_loss,risk_ratio,1.1984605445924017,0.1392803010859729,0.9121539300585136,1.574632997363261,0.1936662805564839,,,,,,,117.0,25.0,92.0,310.0,61.0,249.0,195.0,33.0,162.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1318,1318,9,9,216.0,PASS,,,,,work_loss,risk_ratio,0.9402716149471454,0.1742885792042031,0.6681879173943155,1.3231468077468629,0.7238190810294829,,,,,,,117.0,25.0,92.0,310.0,61.0,249.0,195.0,33.0,162.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,full,any_withdrawal,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,917,917,12,12,152.0,PASS,350.0,67.0,283.0,,any_withdrawal,risk_ratio,1.159900417172162,0.1477883768705429,0.8682064544698436,1.5495956875576142,0.3155266290358388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,full,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,917,917,13,13,152.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,292.0,53.0,239.0,58.0,14.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,incident_any_iadl,full,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,917,917,14,14,152.0,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,,,,64.0,17.0,47.0,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,basic,any_withdrawal,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,8,8,268.0,PASS,668.0,127.0,541.0,,any_withdrawal,risk_ratio,1.241325232643667,0.114122999787167,0.9925306111157916,1.5524844432411051,0.0581894481254475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,basic,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,9,9,268.0,PASS,,,,,loss_1,risk_ratio,1.2236202819296471,0.119450083191053,0.968212247081146,1.546403279718176,0.0911188539005418,544.0,103.0,441.0,124.0,24.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,basic,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,9,9,268.0,PASS,,,,,loss_2plus,risk_ratio,1.335800912971168,0.2107047278123963,0.883872346563727,2.018802925594135,0.1694081640902019,544.0,103.0,441.0,124.0,24.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,10,10,268.0,PASS,,,,,alcohol_loss,risk_ratio,1.465022848256179,0.1756827731152274,1.0382524158943005,2.067215941957558,0.0297322950961034,,,,,,,145.0,31.0,114.0,411.0,81.0,330.0,252.0,42.0,210.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,10,10,268.0,PASS,,,,,activity_loss,risk_ratio,1.2331936462467508,0.1238146931352089,0.9674755995165883,1.571891394370284,0.0904723956828993,,,,,,,145.0,31.0,114.0,411.0,81.0,330.0,252.0,42.0,210.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,basic,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1634,1634,10,10,268.0,PASS,,,,,work_loss,risk_ratio,0.9548684967344456,0.155721445856538,0.7037092021852708,1.2956684994661336,0.7667980608327308,,,,,,,145.0,31.0,114.0,411.0,81.0,330.0,252.0,42.0,210.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,full,any_withdrawal,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1162,1162,13,13,193.0,PASS,471.0,91.0,380.0,,any_withdrawal,risk_ratio,1.2158195504108933,0.1315440554713761,0.9395039698777574,1.57340173810408,0.1373919414258007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,full,score_categorical,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1162,1162,14,14,193.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,388.0,74.0,314.0,83.0,17.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,full,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1162,1162,15,15,193.0,PASS,,,,,alcohol_loss,risk_ratio,1.6754808826866106,0.1966888437350339,1.1395086586712782,2.4635496772105934,0.0086918455105445,,,,,,,86.0,21.0,65.0,297.0,62.0,235.0,182.0,28.0,154.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,full,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1162,1162,15,15,193.0,PASS,,,,,activity_loss,risk_ratio,1.252710467485949,0.1393723415353539,0.9532718183950568,1.6462078129939215,0.1059642637806513,,,,,,,86.0,21.0,65.0,297.0,62.0,235.0,182.0,28.0,154.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,iadl_count_increase,full,mutually_adjusted_components,core,PASS_STRICT_COMPLETE_ITEM_COUNTS,1162,1162,15,15,193.0,PASS,,,,,work_loss,risk_ratio,0.8700899826934,0.1880710773674676,0.6018354665114204,1.2579128683986176,0.4593450123383487,,,,,,,86.0,21.0,65.0,297.0,62.0,235.0,182.0,28.0,154.0,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,basic,any_withdrawal,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1446,1446,8,8,,PASS,575.0,,,,any_withdrawal,mean_difference,0.1599968333732052,0.1631483630234286,-0.1597680822893812,0.4797617490357917,0.3267490677171694,,,,,,,,,,,,,,,,0.0448003825512007,0.0456828358533991,-0.0447363304331165,0.1343370955355181,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,basic,score_categorical,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1446,1446,9,9,,PASS,,,,,loss_1,mean_difference,0.0965808564568696,0.1698916613316976,-0.2364006810269339,0.4295623939406732,0.5697057066861555,469.0,,,106.0,,,,,,,,,,,,0.0270434059547768,0.0475710128722694,-0.0661940659829627,0.1202808778925162,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,basic,score_categorical,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1446,1446,9,9,,PASS,,,,,loss_2plus,mean_difference,0.4690392348878086,0.3439462715928428,-0.2050830700509951,1.1431615398266124,0.1726622747421252,469.0,,,106.0,,,,,,,,,,,,0.1313347065156067,0.0963076844682046,-0.0574248864765218,0.3200942995077354,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,basic,mutually_adjusted_components,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1446,1446,10,10,,PASS,,,,,alcohol_loss,mean_difference,0.2597314463404188,0.3050115456831239,-0.3380801980673973,0.8575430907482351,0.3944659677117543,,,,,,,123.0,,,350.0,,,221.0,,,0.0727268653466746,0.0854056523560261,-0.0946651373472849,0.2401188680406343,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,basic,mutually_adjusted_components,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1446,1446,10,10,,PASS,,,,,activity_loss,mean_difference,0.0886703485545148,0.1847916175335569,-0.273514566456157,0.4508552635651868,0.6313414033320704,,,,,,,123.0,,,350.0,,,221.0,,,0.0248284009904401,0.0517431188056561,-0.076586248316423,0.1262430502973034,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,basic,mutually_adjusted_components,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1446,1446,10,10,,PASS,,,,,work_loss,mean_difference,0.1722257582406822,0.2205989191753969,-0.2601401783715579,0.6045916948529224,0.4349678081301122,,,,,,,123.0,,,350.0,,,221.0,,,0.0482245785224731,0.0617694473139135,-0.0728413135577417,0.169290470602688,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,full,any_withdrawal,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1023,1023,13,13,,PASS,400.0,,,,any_withdrawal,mean_difference,0.0379379318847413,0.192168603681944,-0.3387056102912202,0.4145814740607029,0.8434988548350499,,,,,,,,,,,,,,,,0.0108816647300974,0.0551193545096468,-0.0971502849599057,0.1189136144201007,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,full,score_categorical,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1023,1023,14,14,,NOT_EVALUABLE_LOSS_2PLUS_N,,,,,,,,,,,,331.0,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,word_recall_change,full,mutually_adjusted_components,core,PASS_BASELINE_ADJUSTED_CHANGE_CANDIDATE,1023,1023,15,15,,NOT_EVALUABLE_ALCOHOL_LOSS_N,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_diabetes,basic,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,2476,1865,8,8,103.0,PASS,1021.0,48.0,973.0,,any_withdrawal,risk_ratio,1.2455131075006276,0.1940345669996368,0.851502209948074,1.821842483591993,0.2578501949012018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_diabetes,basic,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,2476,1865,9,9,103.0,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,,,,,,,,,,837.0,41.0,796.0,184.0,7.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_diabetes,basic,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,2476,1865,10,10,103.0,NOT_EVALUABLE_ALCOHOL_LOSS_EVENTS,,,,,,,,,,,,,,,,,,223.0,7.0,216.0,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_diabetes,full,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,1974,1560,13,13,92.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_diabetes,full,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,1974,1560,14,14,92.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_diabetes,full,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,1974,1560,15,15,92.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_stroke,basic,any_withdrawal,core,PASS_BASELINE_FREE_RISK_SET,2628,1979,8,8,79.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_stroke,basic,score_categorical,core,PASS_BASELINE_FREE_RISK_SET,2628,1979,9,9,79.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charls,all_primary_wave_intervals,incident_stroke,basic,mutually_adjusted_components,core,PASS_BASELINE_FREE_RISK_SET,2628,1979,10,10,79.0,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
